stop_id,stop_name,stop_lat,stop_lon
34_stp21,34_stp21,25.67111012,-100.3233075
34_stp22,34_stp22,25.67067498,-100.3191555
34_stp23,34_stp23,25.67209644,-100.3188658
34_stp24,34_stp24,25.67539379,-100.3183722
34_stp25,34_stp25,25.67716329,-100.3181577
34_stp26,34_stp26,25.68116634,-100.3176105
34_stp27,34_stp27,25.68243298,-100.3174281
34_stp28,34_stp28,25.68584606,-100.3169346
34_stp29,34_stp29,25.69006152,-100.3166717
34_stp30,34_stp30,25.69448953,-100.3167361
34_stp31,34_stp31,25.69712402,-100.3167576
34_stp32,34_stp32,25.69996147,-100.3167361
34_stp33,34_stp33,25.70183695,-100.3162318
34_stp34,34_stp34,25.70656419,-100.3145045
34_stp35,34_stp35,25.70825107,-100.3139198
34_stp36,34_stp36,25.71043092,-100.3130293
34_stp37,34_stp37,25.71405103,-100.311833
